audiourl,title,artist,catalogue,writer,publishing
,Voodoo Mama,Wade Curtiss & The Rhythm Rockers,45-067,,Hoody Music
,Come On Santa,"Hentchmen, The ",45-068,,
,Merry Christmas Baby,"Hentchmen, The ",45-068,,
,Poor Mr. Santa,Andre Williams Mr. Rhythm,45-069,,
,Poor Mr. Santa,Andre Williams Mr. Rhythm,45-069,,
,Avalanche,Don & The Galaxies,45-070,,
,Sundown,Don & The Galaxies,45-070,,
,Savage Beat,"Dictators, The",45-071,,Shernoff Music
,Who will Save Rock n Roll,"Dictators, The",45-071,,Shernoff Music
,Brang,Wade Curtiss & The Rhythm Rockers,45-072,,Faye Music
,Maxine,Wade Curtiss & The Rhythm Rockers,45-072,,Hoody Music
,Ooh Poo Pah Doo,Incredible Kings w The Elegants,45-073,,Emi Unart Pub
,The Limp,Incredible Kings w The Elegants,45-073,,Ervenson Publishing
,Go GO GO,Del-Tinos,45-074,,
,Ramrod,Del-Tinos,45-074,,
,My Sin My Pride,"Novas, The",45-075,,
,On The Road Again,"Novas, The",45-075,,
,Take 7,"Novas, The",45-075,,
,The Cruiser,"Novas,The",45-075,,
,In My Dreams,Gene Vincent and his Blue Caps,45-076,,
,Lonesome Boy,Gene Vincent and his Blue Caps,45-076,,
,My Love (In Love Again),Gene Vincent and his Blue Caps,45-076,,
,The Night Is So Lonely,Gene Vincent and his Blue Caps,45-076,,
,Hold It,"Sonics, The",45-077,,Islip Music Publishing Co
,Keep A Knocin',"Sonics, The",45-077,,Valet Publishing Company
,Think,"Sonics, The",45-077,,"Fort Knox Music Inc, Trio Music Company"
,Wailers House Party,"Sonics, The",45-077,,Valet Publishing Company
,Ale Up,"Church Keys, The",45-078,,
,Oogy Wawa,"Church Keys, The",45-078,,
,September Gurls,Big Star,45-079,,"Almo Music COrporation, Koala Music"
,The Letter,Big Star,45-079,,"Bike, Lovolar Music, Budde Songs BMI"
,Come Monkey With ME,Gino Washington,45-080,,
,Heartburn,Gino Washington,45-080,,
,Monkey tree,Gino Washington,45-080,,
,Out Of This World,Gino Washington,45-080,,
,All Kindsa Girls,Real Kids The,45-081,,Greenline Music
,Common At Noon,Real Kids The,45-081,,Greenline Music
,Betty Lou,Long John Hunter,45-082,,"Fort Knox Music, Trio Music COmpany"
,Hey Mrs Jones,Long John Hunter,45-082,,Embassy Music Corporation
,Are You For Real?,Question Mark and The Mysterians,45-083,,
,I'll Be Back,Question Mark and The Mysterians,45-083,,
,All Light Up,"Pretty Things, The",45-084,,
,Vivian Prince,"Pretty Things, The",45-084,,
,Dirty Robber ,"Wailers, The",45-085,,
,High Wall,"Wailers, The",45-085,,
,Scotch On The Rocks,"Wailers, The",45-085,,
,Snake Pit,"Wailers, The",45-085,,
,Santa Claus Ain't Coming This Year,"Swinging' Neckbreakers, The",45-086,,
,Under The Christmas Three,"Swinging' Neckbreakers, The",45-086,,
,Rally In The Valley,Rudy Ray Moore,45-087,,
,Whatcha Gonna Do,Rudy Ray Moore,45-087,,
,I'm Looking for Someone To love,Rivieras,45-088,,
,Surfin' Fun,Rivieras,45-088,,
,Crazy Daisy,Doug Sahm,45-089,,
,Slow Down,Doug Sahm,45-089,,
,Do You Remember,Gene Carroll and The Shades,45-090,,
,Is It Ever Gonna Happen,Gene Carroll and The Shades,45-090,,
,Red Devil,Gene Carroll and The Shades,45-090,,
,I've Had Enough,The Reign,45-091,,
,Zippered Up Heart,The Reign,45-091,,
,Crazy Like A Fox,Link Cromwell,45-092,,"Little Guy Music, Fort Know Music Inc, Kusada Music, Trio Music Inc"
,I'm Crying,Link Cromwell,45-092,,Emi All Gallico Music Corp
,Forgive Me,Chris Montez,45-093,,
,She's My Rockin Baby,Chris Montez,45-093,,
,Hello Lucille Are You A Lesbian,T. Valentine,45-094,,Naomi
,Little Lu-Lu Frog,T. Valentine,45-094,,Naomi
,Never Thought You'd Leave ME,Pleasure Seekers,45-095
,What A Way To Die,Pleasure Seekers,45-095
,It's Not Easy,Question Mark and The Mysterians,45-096
,Sally Go Round The Roses,Question Mark and The Mysterians,45-096
,Leave Her Home,Lou Reed,45-097
,Merrry GO Round,Lou Reed,45-097
,So Blue,Lou Reed,45-097
,Your Love,Lou Reed,45-097
,Plum Duff,"Wildebeests, The ",45-098
,Rudolph's Ruin,"Wildebeests, The ",45-098
,High School Confidential,Jerry Lee Lewis,45-099
,Wild One,Jerry Lee Lewis,45-099
,Heartaches For Me,"Monacles, The",45-100
,I Can't Win,"Monacles, The",45-100
,Better Watch Out,"Creations, The",45-101
,I'm Mad,"Creations, The",45-101
,Soul And Feeling,"Creations, The",45-101
,To Whom It May Concern,"Creations, The",45-101
,I'd Rather Go To Jail,Real Kids The,45-102
,My Way,Real Kids The,45-102
,She's Got Everything,Real Kids The,45-102
,Avenue A,"Dictators, The",45-103
,New York New York,"Dictators, The",45-103
,Memphis Baby,"Triumphs, The",45-104
,Surfside Date,"Triumphs, The",45-104
,Surfside Slave,"Triumphs, The",45-104
,Susie In My Hist'ry Class,"Triumphs, The ",45-104
,Don't Hurt Your Knees (You Might Need 'em To Pray),Andre Williams,45-105
,The Monkey Speaks His Mind,Andre Williams,45-105
,Oh Baby Babe,"Johnny Burnette and the Rock n, Roll Trio",45-106
,Tear it Up,"Johnny Burnette and the Rock n, Roll Trio",45-106
,I Don't Want No Bald Headed Woman Telling Me What To Do(instrumental),Nathaniel Mayer,45-107
,Instro,Nathaniel Mayer,45-107,,
,Burn Baby Burn,Stud Cole,45-108,,Hoody Music
,The Witch,Stud Cole,45-108,,Hoody Music
,My Hot Mama,"Sabres, The",45-109,,
,Puppet,"Sabres, The",45-109,,
,Spider Walk,"Sabres, The",45-109,,
,Take Up The Slack Daddy-O,"SAbres, The",45-109,,
,Back in The USA,Bloodshot Bill,45-11-11-11,,"Arc Music, Isalee music Publishing co."
,Lookie There,Kid Thomas,45-110,,
,Rockin This Joint Tonite,Kid Thomas,45-110,,
,Wail Baby Wail,Kid Thomas,45-110,,
,You Heard What I Said,Kid Thomas,45-110,,
,Christmas Party,Brendan Hanlon & The Bat Men,45-111,,
,Cool Yule,Donny Burns,45-111,,
,Rock And Roll Santa,Little Joe Farr,45-111,,
,Santa Claus,Toronados,45-111,,
,Things That Go Bump In The Night,Roky Erickson and the Aliens,45-112,,
,Wake up To Rock and Roll,Roky Erickson and the Aliens,45-112,,
,Cool Martini,Daryl Britt and The Blue Jeans,45-113,,
,Be-Bop-A-Lula,Gene Vincent and his Blue Caps,45-114,,
,Hound Dog (live),Gene Vincent and his Blue Caps,45-114,,
,Don't Want Ya No More,Mogen David & The Grapes Of Wrath,45-116,,
,Little Girl Gone,Mogen David & The Grapes Of Wrath,45-116,,
,Hot Lips Baby,Herbie Duncan with Red Wells and his Caravans from St. Louis,45-117,,
,Little Angel,Herbie Duncan with Red Wells and his Caravans from St. Louis,45-117,,
,Mary(ting-a-ling),Pretty Boy AKA Don Covay,45-118,,
,Ooh My Soul,Pretty Boy AKA Don Covay,45-118,,
,Rockin' The Mule,Pretty Boy AKA Don Covay,45-118,,
,Switchen In The Kitchen,Pretty Boy AKA Don Covay,45-118,,
,Rock And Roll Radio,Joe Boot and the Four Winds,45-119,,Star tunes Music
,The Greaser,Lord Dent and The Four Winds,45-119,,CFG Publishing
,Frankenstein's Den,Mighty El Dukes,45-119,,Parker Music
,Walking Beside You ,Mighty El Dukes,45-119,,
,Harlem Shuffle,The 5.6.7.8's,45-120,,
,Rock And Roll Santa,The 5.6.7.8's,45-120,,
,If Christmas Can't Bring You Home,Reigning Sound,45-121,,
,Jingle Bell Rock,Reigning Sound,45-121,,
,That's All I Want,Reigning Sound,45-121,,
,,Reigning Sound,45-121,,
,I Want The Cake(and not the crumbs),Jimmy Lee Fautheree,45-122,,
,You're Not Play Love,Jimmy Lee Fautheree,45-122,,
,Bad Times,Gene Rambo And The Flames,45-123,,
,My Little Mama,Carl Canida And The Flames,45-123,,
,Party Date,Scotty McKay,45-123,,
,Speechless,Vince Murphy And The Catalinas,45-123,,
,16 Forever,"Dictators, The",45-124,,"Prince Of The Bronx Music, Shernoff Music"
,Stay With ME,"Dictators, The",45-124,,Shernoff Music
,I Need A Woman,Johnny Clark And The Four Playboys,45-125,,Hoody Music
,Jungle Stomp,Johnny Clark And The Four Playboys,45-125,,Hoody Music
,Mr. Santa Claus,Nathaniel Mayer And The Shanks,45-126,,
,Ride In My 225,Nathaniel Mayer And The Shanks,45-126,,
,Didn't It Rain,Screamin' Jay Hawkins,45-127,,Rightsong Music
,I Hear Voices,"Clovertones, The",45-127,,Traditional
,Black Sheep,Reigning Sound,45-128,,
,Tennessee,Reigning Sound,45-128,,
,Gloria,"Alarm Clocks, The",45-129,,
,Marie,"Alarm Clocks, The",45-129,,
,I Jes Wanna Go TO Bed,Figures Of Light,45-130,,Lame Toonz Inc
,It's Lame,Figures Of Light,45-130,,Lame Toonz Inc
,7 and 7 is,"U-Turns, The",45-131,,
,Dedicated Follower of Fashion,"U-Turns, The",45-131,,
,Get Off My Cloud,"U-Turns, The",45-131,,
,I'm Down,"U-Turns, The",45-131,,
,A Certain Guy,Mary Weiss,45-132,,Emi/Unart
,Don't Come Back,Mary Weiss,45-132,,Big Gamble
,Busy Body,"Sonics, The",45-133,,Lowery Music
,The Witch,"Sonics, The",45-133,,ValetPublishing Company
,Hide And Go Seek - Part 1,Bunker Hill,45-134,,
,Hide And Go Seek - Part 2,Bunker Hill,45-134,,
,Blue Black hair,The Jades,45-135,,Hoody Music
,Shake Baby Shake,The Jades,45-135,,"FOrt Knox Music, Trio Music"
,Surfin' Crow,The Jades,45-135,,Hoody Music
,Little Marlena,The Jades,45-135,,Hoody Music
,I Need Your Loving,Vikings,45-136,,
,Such A Love,Vikings,45-136,,
,Cockroach,Charlie Feathers,45-137,,
,One Good Gal,Charlie Feathers,45-137,,
,Christmas In Baghdad,Black Lips,45-138,,
,Plump Righteous,King Khan And BBQ Show,45-138,,
,Blintz,"Zodiacs, The",45-139,,
,Caravan,"Zodiacs, The",45-139
,Jungle Beat,"Zodiacs, The",45-139
,The Caterpillar Crawl,"Zodiacs, The",45-139
